"BehaviorSpace results (NetLogo 5.3.1)"
"MyNamingGame.nlogo"
"experiment"
"09/02/2016 18:26:08:034 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","centrality","Robots?","[step]","stat_1000_robot_percent","stat_1000_remaining_colors","stat_2500_robot_percent","stat_2500_remaining_colors","stat_5000_robot_percent","stat_5000_remaining_colors","stat_gen_robot_percent"
"224","""random""","15","2189","97.05882352941177","3","100","1","100","1","100"
"222","""random""","15","3094","88.23529411764706","5","97.05882352941177","3","100","1","100"
"225","""random""","15","1273","97.05882352941177","2","100","1","100","1","100"
"195","""random""","2","34247","35.294117647058826","4","8.823529411764707","3","41.1764705882353","3","0"
"228","""random""","15","1600","97.05882352941177","3","100","1","100","1","100"
"229","""random""","15","809","100","1","100","1","100","1","100"
"227","""random""","15","1992","88.23529411764706","3","100","1","100","1","100"
"230","""random""","15","1475","91.17647058823529","4","100","1","100","1","100"
"232","""random""","15","2194","94.11764705882354","3","100","1","100","1","100"
"233","""random""","15","1281","97.05882352941177","3","100","1","100","1","100"
"235","""random""","15","896","100","1","100","1","100","1","100"
"226","""random""","15","6474","91.17647058823529","4","91.17647058823529","3","91.17647058823529","3","100"
"234","""random""","15","2317","85.29411764705883","2","100","1","100","1","100"
"237","""random""","15","725","100","1","100","1","100","1","100"
"236","""random""","15","1468","85.29411764705883","4","100","1","100","1","100"
"238","""random""","15","1117","97.05882352941177","3","100","1","100","1","100"
"239","""random""","15","1503","91.17647058823529","3","100","1","100","1","100"
"241","""random""","15","981","100","1","100","1","100","1","100"
"242","""random""","15","1139","97.05882352941177","3","100","1","100","1","100"
"240","""random""","15","3320","97.05882352941177","2","97.05882352941177","2","100","1","100"
"243","""random""","15","1480","88.23529411764706","2","100","1","100","1","100"
"244","""random""","15","1839","70.58823529411765","4","100","1","100","1","100"
"246","""random""","15","1598","94.11764705882354","3","100","1","100","1","100"
"248","""random""","15","1","2.9411764705882355","1","2.9411764705882355","1","2.9411764705882355","1","2.9411764705882355"
"245","""random""","15","2741","82.3529411764706","4","97.05882352941177","2","100","1","100"
"249","""random""","15","1104","97.05882352941177","3","100","1","100","1","100"
"247","""random""","15","1259","97.05882352941177","2","100","1","100","1","100"
"251","""random""","15","1296","94.11764705882354","3","100","1","100","1","100"
"250","""random""","15","1688","88.23529411764706","4","100","1","100","1","100"
"252","""random""","15","1162","97.05882352941177","2","100","1","100","1","100"
"253","""random""","15","1142","97.05882352941177","2","100","1","100","1","100"
"256","""random""","15","1114","97.05882352941177","3","100","1","100","1","100"
"231","""random""","15","17686","73.52941176470588","6","76.47058823529412","3","79.41176470588235","2","100"
"255","""random""","15","2497","79.41176470588235","6","100","1","100","1","100"
"257","""random""","15","1159","97.05882352941177","2","100","1","100","1","100"
"254","""random""","15","3764","82.3529411764706","3","94.11764705882354","2","100","1","100"
"259","""random""","15","1525","91.17647058823529","4","100","1","100","1","100"
"258","""random""","15","1677","97.05882352941177","3","100","1","100","1","100"
"261","""random""","15","1410","85.29411764705883","5","100","1","100","1","100"
"263","""random""","15","1658","88.23529411764706","4","100","1","100","1","100"
"262","""random""","15","1742","91.17647058823529","4","100","1","100","1","100"
"260","""random""","15","3111","85.29411764705883","3","94.11764705882354","3","100","1","100"
"267","""random""","15","699","100","1","100","1","100","1","100"
"265","""random""","15","1056","100","2","100","1","100","1","100"
"264","""random""","15","1960","94.11764705882354","3","100","1","100","1","100"
"266","""random""","15","2051","91.17647058823529","3","100","1","100","1","100"
"270","""random""","15","1159","97.05882352941177","2","100","1","100","1","100"
"268","""random""","15","1917","79.41176470588235","4","100","1","100","1","100"
"271","""random""","15","1066","94.11764705882354","2","100","1","100","1","100"
"272","""random""","15","1135","94.11764705882354","3","100","1","100","1","100"
"269","""random""","15","3309","97.05882352941177","2","97.05882352941177","2","100","1","100"
"273","""random""","15","1233","97.05882352941177","3","100","1","100","1","100"
"276","""random""","15","1438","97.05882352941177","3","100","1","100","1","100"
"275","""random""","15","2088","91.17647058823529","4","100","1","100","1","100"
"274","""random""","15","2839","85.29411764705883","5","97.05882352941177","3","100","1","100"
"279","""random""","15","2136","85.29411764705883","4","100","1","100","1","100"
"278","""random""","15","2463","94.11764705882354","4","100","1","100","1","100"
"280","""random""","15","2041","82.3529411764706","3","100","1","100","1","100"
"281","""random""","15","1119","94.11764705882354","2","100","1","100","1","100"
"283","""random""","15","716","100","1","100","1","100","1","100"
"282","""random""","15","2094","97.05882352941177","3","100","1","100","1","100"
"285","""random""","15","845","100","1","100","1","100","1","100"
"286","""random""","15","1106","97.05882352941177","3","100","1","100","1","100"
"277","""random""","15","7352","64.70588235294117","5","82.3529411764706","4","85.29411764705883","2","100"
"284","""random""","15","2555","64.70588235294117","4","94.11764705882354","3","100","1","100"
"288","""random""","15","1131","100","2","100","1","100","1","100"
"290","""random""","15","1135","97.05882352941177","3","100","1","100","1","100"
"291","""random""","15","1310","97.05882352941177","2","100","1","100","1","100"
"289","""random""","15","2621","88.23529411764706","2","100","2","100","1","100"
"287","""random""","15","2971","70.58823529411765","6","88.23529411764706","3","100","1","100"
"292","""random""","15","1176","85.29411764705883","4","100","1","100","1","100"
"294","""random""","15","961","100","1","100","1","100","1","100"
"295","""random""","15","1086","97.05882352941177","2","100","1","100","1","100"
"296","""random""","15","1348","85.29411764705883","5","100","1","100","1","100"
"297","""random""","15","1225","100","2","100","1","100","1","100"
"293","""random""","15","3388","91.17647058823529","3","94.11764705882354","3","100","1","100"
"298","""random""","15","1062","94.11764705882354","4","100","1","100","1","100"
"302","""random""","29","614","100","1","100","1","100","1","100"
"299","""random""","15","2062","97.05882352941177","2","100","1","100","1","100"
"300","""random""","15","2186","82.3529411764706","4","100","1","100","1","100"
"303","""random""","29","1243","91.17647058823529","2","100","1","100","1","100"
"301","""random""","29","2622","97.05882352941177","2","97.05882352941177","3","100","1","100"
"305","""random""","29","1154","94.11764705882354","3","100","1","100","1","100"
"306","""random""","29","583","100","1","100","1","100","1","100"
"304","""random""","29","1787","94.11764705882354","3","100","1","100","1","100"
"307","""random""","29","595","100","1","100","1","100","1","100"
"308","""random""","29","440","100","1","100","1","100","1","100"
"310","""random""","29","382","100","1","100","1","100","1","100"
"309","""random""","29","370","100","1","100","1","100","1","100"
"312","""random""","29","387","100","1","100","1","100","1","100"
"311","""random""","29","913","100","1","100","1","100","1","100"
"314","""random""","29","858","100","1","100","1","100","1","100"
"313","""random""","29","1079","97.05882352941177","3","100","1","100","1","100"
"315","""random""","29","964","100","1","100","1","100","1","100"
"316","""random""","29","670","100","1","100","1","100","1","100"
"317","""random""","29","1005","100","2","100","1","100","1","100"
"318","""random""","29","1601","97.05882352941177","2","100","1","100","1","100"
"320","""random""","29","1482","97.05882352941177","2","100","1","100","1","100"
"321","""random""","29","1173","97.05882352941177","2","100","1","100","1","100"
"319","""random""","29","1740","97.05882352941177","3","100","1","100","1","100"
"322","""random""","29","635","100","1","100","1","100","1","100"
"325","""random""","29","619","100","1","100","1","100","1","100"
"326","""random""","29","615","100","1","100","1","100","1","100"
"327","""random""","29","560","100","1","100","1","100","1","100"
"328","""random""","29","474","100","1","100","1","100","1","100"
"324","""random""","29","897","100","1","100","1","100","1","100"
"329","""random""","29","795","100","1","100","1","100","1","100"
"330","""random""","29","935","100","1","100","1","100","1","100"
"331","""random""","29","1207","97.05882352941177","2","100","1","100","1","100"
"323","""random""","29","2397","94.11764705882354","2","100","1","100","1","100"
"332","""random""","29","544","100","1","100","1","100","1","100"
"335","""random""","29","643","100","1","100","1","100","1","100"
"334","""random""","29","1059","100","2","100","1","100","1","100"
"336","""random""","29","991","100","1","100","1","100","1","100"
"337","""random""","29","519","100","1","100","1","100","1","100"
"338","""random""","29","641","100","1","100","1","100","1","100"
"340","""random""","29","681","100","1","100","1","100","1","100"
"333","""random""","29","2246","97.05882352941177","2","100","1","100","1","100"
"341","""random""","29","480","100","1","100","1","100","1","100"
"339","""random""","29","1307","94.11764705882354","2","100","1","100","1","100"
"343","""random""","29","393","100","1","100","1","100","1","100"
"342","""random""","29","678","100","1","100","1","100","1","100"
"346","""random""","29","713","100","1","100","1","100","1","100"
"345","""random""","29","544","100","1","100","1","100","1","100"
"347","""random""","29","864","100","1","100","1","100","1","100"
"350","""random""","29","364","100","1","100","1","100","1","100"
"349","""random""","29","886","100","1","100","1","100","1","100"
"344","""random""","29","2251","97.05882352941177","3","100","1","100","1","100"
"348","""random""","29","1788","97.05882352941177","3","100","1","100","1","100"
"351","""random""","29","1407","97.05882352941177","2","100","1","100","1","100"
"352","""random""","29","1899","97.05882352941177","2","100","1","100","1","100"
"353","""random""","29","1673","97.05882352941177","2","100","1","100","1","100"
"355","""random""","29","757","100","1","100","1","100","1","100"
"354","""random""","29","1404","91.17647058823529","2","100","1","100","1","100"
"357","""random""","29","439","100","1","100","1","100","1","100"
"356","""random""","29","758","100","1","100","1","100","1","100"
"359","""random""","29","513","100","1","100","1","100","1","100"
"360","""random""","29","492","100","1","100","1","100","1","100"
"363","""random""","29","1","2.9411764705882355","1","2.9411764705882355","1","2.9411764705882355","1","2.9411764705882355"
"358","""random""","29","1567","97.05882352941177","2","100","1","100","1","100"
"362","""random""","29","698","100","1","100","1","100","1","100"
"364","""random""","29","678","100","1","100","1","100","1","100"
"361","""random""","29","920","100","1","100","1","100","1","100"
"365","""random""","29","607","100","1","100","1","100","1","100"
"367","""random""","29","451","100","1","100","1","100","1","100"
"370","""random""","29","497","100","1","100","1","100","1","100"
"368","""random""","29","977","100","1","100","1","100","1","100"
"366","""random""","29","1487","97.05882352941177","2","100","1","100","1","100"
"372","""random""","29","365","100","1","100","1","100","1","100"
"369","""random""","29","1414","97.05882352941177","3","100","1","100","1","100"
"374","""random""","29","478","100","1","100","1","100","1","100"
"373","""random""","29","621","100","1","100","1","100","1","100"
"371","""random""","29","1063","100","2","100","1","100","1","100"
"376","""random""","29","566","100","1","100","1","100","1","100"
"377","""random""","29","456","100","1","100","1","100","1","100"
"379","""random""","29","376","100","1","100","1","100","1","100"
"378","""random""","29","702","100","1","100","1","100","1","100"
"382","""random""","29","273","100","1","100","1","100","1","100"
"380","""random""","29","684","100","1","100","1","100","1","100"
"383","""random""","29","480","100","1","100","1","100","1","100"
"381","""random""","29","712","100","1","100","1","100","1","100"
"385","""random""","29","1463","97.05882352941177","2","100","1","100","1","100"
"386","""random""","29","1337","97.05882352941177","2","100","1","100","1","100"
"384","""random""","29","1714","88.23529411764706","4","100","1","100","1","100"
"375","""random""","29","4422","97.05882352941177","3","97.05882352941177","2","100","1","100"
"388","""random""","29","374","100","1","100","1","100","1","100"
"389","""random""","29","638","100","1","100","1","100","1","100"
"387","""random""","29","1026","100","2","100","1","100","1","100"
"390","""random""","29","1062","100","2","100","1","100","1","100"
"392","""random""","29","434","100","1","100","1","100","1","100"
"394","""random""","29","661","100","1","100","1","100","1","100"
"391","""random""","29","1743","97.05882352941177","3","100","1","100","1","100"
"393","""random""","29","950","100","1","100","1","100","1","100"
"396","""random""","29","541","100","1","100","1","100","1","100"
